89.208.0.0/21,IL,TA,Tel Aviv,ITC
89.208.4.0/22,IL,TA,Tel Aviv,ITC
89.208.56.0/21,IL,TA,Tel Aviv,ITC
89.208.128.0/21,IL,TA,Tel Aviv,ITC
141.226.120.0/23,IL,TA,Tel Aviv,ITC
141.226.120.0/22,IL,TA,Tel Aviv,ITC
141.226.122.0/23,IL,TA,Tel Aviv,ITC
147.234.23.0/24,IL,TA,Tel Aviv,ITC
147.236.104.0/21,IL,TA,Tel Aviv,ITC
147.236.106.0/23,IL,TA,Tel Aviv,ITC
147.236.116.0/23,IL,TA,Tel Aviv,ITC
147.236.118.0/24,IL,TA,Tel Aviv,ITC
147.236.119.0/24,IL,TA,Tel Aviv,ITC
147.236.120.0/21,IL,TA,Tel Aviv,ITC
147.236.125.0/24,IL,TA,Tel Aviv,ITC
147.236.144.0/20,IL,TA,Tel Aviv,ITC
147.236.152.0/23,IL,TA,Tel Aviv,ITC
147.236.154.0/23,IL,TA,Tel Aviv,ITC
147.236.176.0/20,IL,TA,Tel Aviv,ITC
147.236.183.0/24,IL,TA,Tel Aviv,ITC
185.108.80.0/23,IL,TA,Tel Aviv,ITC
185.108.80.0/22,IL,TA,Tel Aviv,ITC
185.108.82.0/24,IL,TA,Tel Aviv,ITC
185.108.82.0/23,IL,TA,Tel Aviv,ITC
185.108.83.0/24,IL,TA,Tel Aviv,ITC
185.149.252.0/22,IL,TA,Tel Aviv,ITC
185.167.108.0/24,IL,TA,Tel Aviv,ITC
185.167.108.0/23,IL,TA,Tel Aviv,ITC
185.167.108.0/22,IL,TA,Tel Aviv,ITC
185.167.110.0/24,IL,TA,Tel Aviv,ITC
185.175.32.0/22,IL,TA,Tel Aviv,ITC
185.180.100.0/24,IL,TA,Tel Aviv,ITC
185.180.100.0/22,IL,TA,Tel Aviv,ITC
185.180.102.0/24,IL,TA,Tel Aviv,ITC
185.180.103.0/24,IL,TA,Tel Aviv,ITC
185.182.76.0/24,IL,TA,Tel Aviv,ITC
185.182.76.0/22,IL,TA,Tel Aviv,ITC
185.182.77.0/24,IL,TA,Tel Aviv,ITC
185.182.78.0/24,IL,TA,Tel Aviv,ITC
185.182.79.0/24,IL,TA,Tel Aviv,ITC
185.184.244.0/23,IL,TA,Tel Aviv,ITC
185.184.244.0/22,IL,TA,Tel Aviv,ITC
185.184.246.0/23,IL,TA,Tel Aviv,ITC
188.191.224.0/24,IL,TA,Tel Aviv,ITC
188.191.224.0/22,IL,TA,Tel Aviv,ITC
188.191.224.0/21,IL,TA,Tel Aviv,ITC
188.191.228.0/22,IL,TA,Tel Aviv,ITC
217.175.80.0/20,IL,TA,Tel Aviv,ITC
217.175.84.0/22,IL,TA,Tel Aviv,ITC
217.175.88.0/22,IL,TA,Tel Aviv,ITC
217.175.88.0/21,IL,TA,Tel Aviv,ITC
2a00:7c40::/29,IL,TA,Tel Aviv,ITC
2a00:7c40::/32,IL,TA,Tel Aviv,ITC
2a00:7c40:10::/48,IL,TA,Tel Aviv,ITC
2a00:7c40:c010::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c020::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c040::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c050::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c070::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c080::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c0a0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c0b0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c0c0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c0d0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c0e0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c0f0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c100::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c110::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c120::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c130::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c140::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c150::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c160::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c170::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c180::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c190::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c1a0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c1b0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c1c0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c200::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c210::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c220::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c230::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c240::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c250::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c270::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c280::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c2a0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c2c0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c370::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c380::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c390::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c3b0::/44,IL,TA,Tel Aviv,ITC
2a00:7c40:c3d0::/44,IL,TA,Tel Aviv,ITC
